user_id,name,orders,lifetime_revenue
70591,Amanda Ballard,3,1514634.0
16975,Gina Carpenter,4,1496625.0
55915,Jonathan Vasquez,4,1478987.0
62645,Lisa Aguirre,4,1478074.0
94568,Richard Edwards,1,1338264.0
1159,Elizabeth Martin,3,1320653.0
23667,Brian White,3,1284412.0
15402,Cassandra Benson,3,1284093.0
83766,Elizabeth Ryan,2,1235440.0
64054,Jeffrey Smith,1,1228148.0
79021,Billy Wilson,3,1225324.0
73892,Melissa Brown,2,1161643.0
46986,Joshua Lyons,4,1099403.0
21969,Cesar Brown,2,1089833.0
10182,Krystal Gilbert,3,1075047.0
62199,Jeremy Richardson,4,1020222.0
83210,Kevin Thomas,1,1007972.0
43302,Timothy Simpson,3,1006158.0
24197,Kristina Powers,3,994579.0
34626,Thomas Walker,4,989907.0
